model_id,axis,scenario,SMD,ci_lo,ci_hi,raw_p,n_boot_finite,BH_q_family11,sig_family11,ci_excludes_0,BH_q_pooled66,sig_pooled66
gpt-audio-1.5,race,Household Activities,0.0170856916775321,-0.0902199267296515,0.1253217755136525,0.7586206896551724,2000,0.943328335832084,False,False,0.9715142428785608,False
gemini-3.1-flash-lite-preview,gender,Politics,-0.0240141857263919,-0.1712833197780704,0.1411020411603903,0.7706146926536732,2000,0.962518740629685,False,False,0.9715142428785608,False
gpt-audio-1.5,race,Health,-0.0168465672345634,-0.1395935994326242,0.1019792872900464,0.782608695652174,2000,0.943328335832084,False,False,0.9715142428785608,False
gpt-audio-1.5,race,Civic and Religious Activities,-0.0134323383265038,-0.0978026524051974,0.0809220084108195,0.7876061969015492,2000,0.943328335832084,False,False,0.9715142428785608,False
gemini-3.1-flash-lite-preview,gender,Educational Activities,-0.0393534855076228,-0.3262881120609868,0.2593177652795475,0.8285857071464268,2000,0.962518740629685,False,False,0.9715142428785608,False
gpt-audio-1.5,gender,Household Activities,0.0107394683388256,-0.0958115536069272,0.1143101950971185,0.8415792103948025,2000,0.913543228385807,False,False,0.9715142428785608,False
gpt-audio-1.5,race,Work-related Activities,-0.0063752377046907,-0.1018041962283789,0.0816796138449807,0.8575712143928036,2000,0.943328335832084,False,False,0.9715142428785608,False
gpt-audio-1.5,gender,Health,-0.0099006102229442,-0.1381925948235414,0.1191628739101165,0.8765617191404298,2000,0.913543228385807,False,False,0.9715142428785608,False
Qwen/Qwen2.5-Omni-7B,race,Health,0.0127178074784302,-0.1498912386253172,0.1761436612896613,0.8765617191404298,2000,0.940529735132434,False,False,0.9715142428785608,False
gpt-audio-1.5,gender,Work-related Activities,0.0085730965121345,-0.0859782232024128,0.1020487999293844,0.896551724137931,2000,0.913543228385807,False,False,0.9715142428785608,False
Qwen/Qwen2.5-Omni-7B,gender,Household Activities,0.0058733191119694,-0.1254434749671429,0.1363809908942765,0.8975512243878061,2000,0.95952023988006,False,False,0.9715142428785608,False
gemini-3.1-flash-lite-preview,race,Civic and Religious Activities,-0.0063307548999811,-0.1442118458365476,0.1289154433712868,0.9005497251374313,2000,0.9005497251374313,False,False,0.9715142428785608,False
Qwen/Qwen2.5-Omni-7B,gender,Personal Care,-0.0039323773927857,-0.1208270203984214,0.0990178621633222,0.912543728135932,2000,0.95952023988006,False,False,0.9715142428785608,False
gpt-audio-1.5,gender,Personal Care,-0.0014197693107039,-0.1460157336195783,0.1193899481617385,0.9135432283858071,2000,0.913543228385807,False,False,0.9715142428785608,False
Qwen/Qwen2.5-Omni-7B,gender,Finance,-0.0065014057686814,-0.1257250469394095,0.1227273143547623,0.9165417291354324,2000,0.95952023988006,False,False,0.9715142428785608,False
gemini-3.1-flash-lite-preview,gender,Leisure and Sports,-0.0104208060109004,-0.1484499730458678,0.1337289003584519,0.9235382308845578,2000,0.962518740629685,False,False,0.9715142428785608,False
Qwen/Qwen2.5-Omni-7B,race,Educational Activities,-0.007981825458545,-0.1847175294683161,0.1604649106851188,0.9305347326336832,2000,0.940529735132434,False,False,0.9715142428785608,False
gemini-3.1-flash-lite-preview,gender,Work-related Activities,0.0079368971944349,-0.1639538849284929,0.1837986159646373,0.9365317341329336,2000,0.962518740629685,False,False,0.9715142428785608,False
Qwen/Qwen2.5-Omni-7B,race,Civic and Religious Activities,-0.0008200227075164,-0.1120208823562839,0.0971049102068755,0.9405297351324338,2000,0.940529735132434,False,False,0.9715142428785608,False
Qwen/Qwen2.5-Omni-7B,gender,Civic and Religious Activities,0.0004881392906038,-0.1168406635934093,0.1120147975622029,0.95952023988006,2000,0.95952023988006,False,False,0.9715142428785608,False
gemini-3.1-flash-lite-preview,gender,Civic and Religious Activities,-0.0061704051277063,-0.1452499582330388,0.1259547640687065,0.9625187406296852,2000,0.962518740629685,False,False,0.9715142428785608,False
gpt-audio-1.5,race,Politics,-0.0017039540061866,-0.099910309938736,0.0989519554268011,0.9715142428785608,2000,0.9715142428785608,False,False,0.9715142428785608,False
