axis,asr,group,point,ci_lo,ci_hi,n_clips,n_participants,n_boot_finite,metric
english_l1l2,audio,L1 English,251.971137802677,247.78864826884424,255.82597588450778,12318,456,2000,wpm
english_l1l2,audio,L2 English,229.0442267620577,215.64677381893677,242.15007739922308,525,19,2000,wpm
age,audio,18-24,250.48192778531293,232.7646253802369,268.1545037189763,692,30,2000,wpm
age,audio,25-34,258.23857241299334,250.4392698117672,266.42659087980246,3291,123,2000,wpm
age,audio,35-44,254.2859535924455,246.78637116061893,261.5006524999066,3795,140,2000,wpm
age,audio,45-54,248.6635579100568,241.08833589901604,255.90428137829667,2863,103,2000,wpm
age,audio,55-64,242.35932855031405,232.28769716331865,251.4938278851942,1511,54,2000,wpm
age,audio,65-74,226.52877701760843,209.09948824942376,243.1558447413968,634,23,2000,wpm
age,audio,75 or older,231.46566267102395,191.8840296246614,271.0472957173865,57,2,1726,wpm
accent_simplified,audio,SAE,254.6394229215673,247.78676420386702,261.2528436843542,3972,147,2000,wpm
accent_simplified,audio,non-SAE,249.44720724704086,244.5602420134849,254.04547258573692,8871,328,2000,wpm
accent,audio,African American English,242.33926058414372,235.69756740763214,248.76514485337833,4463,164,2000,wpm
accent,audio,"Any non-American accent (British, European, Asian, African, etc)",210.1142463687565,191.39338857482812,227.79293313059384,421,16,2000,wpm
accent,audio,California accent,261.78352426219334,245.70792227482377,277.2247954127339,848,32,2000,wpm
accent,audio,"Latino, Hispanic, or Chicano English",242.7311872857228,217.0285371310389,269.1489508225911,191,7,1996,wpm
accent,audio,Mid Atlantic accent,263.9423610022146,245.63819284526892,280.84935957177646,691,25,2000,wpm
accent,audio,Midland or Northern Midwest accent,253.34025115999884,238.59684201905816,267.1417016530861,931,36,2000,wpm
accent,audio,New England accent,256.29306863783796,234.0779964993452,276.95533686494946,503,18,2000,wpm
accent,audio,New Orleans / Cajun accent,234.74703338292542,207.28428037524742,260.256510494766,252,9,2000,wpm
accent,audio,Other,252.14891933277264,226.68443982564395,275.068598791204,134,5,1990,wpm
accent,audio,Pacific Northwest accent,278.1309270703983,227.00075680062284,344.0873242975791,173,6,1995,wpm
accent,audio,Southern accent,250.05981904564516,240.9211464854011,259.7167479901436,2090,77,2000,wpm
accent,audio,Standard American English,252.1133887092165,246.31180265052734,257.5536842562141,5855,221,2000,wpm
primary_language,audio,Arabic,244.71490587547783,244.71490587547783,244.71490587547783,31,1,1244,wpm
primary_language,audio,English,251.48276305337262,247.41363658093115,255.36225159999086,12350,457,2000,wpm
primary_language,audio,French,250.3530329417284,196.7394140470826,304.49370873249086,168,6,1996,wpm
primary_language,audio,German,249.28644028775216,216.38110864182497,282.1917719336793,53,2,1728,wpm
primary_language,audio,Japanese,295.88202679240504,295.88202679240504,295.88202679240504,25,1,1245,wpm
primary_language,audio,Other,230.63455798194835,206.43741410839894,256.94312973874787,301,11,2000,wpm
primary_language,audio,Polish,245.50323517631375,224.9787985447651,266.02767180786236,53,2,1699,wpm
primary_language,audio,Portuguese,270.7183916982558,270.7183916982558,270.7183916982558,26,1,1253,wpm
primary_language,audio,Russian,252.37739685036402,229.6199774168889,277.77885785361127,82,3,1899,wpm
primary_language,audio,Signed Language,269.9993414864267,269.9993414864267,269.9993414864267,29,1,1252,wpm
primary_language,audio,Spanish,256.28172881750686,215.26987681333,292.79421191198713,109,4,1965,wpm
primary_language,audio,Tagalog,236.22016070142686,236.22016070142686,236.22016070142686,27,1,1247,wpm
